FILENAME;\Hard Disk2\Result\yeast_20180629_140317.csv
PROTOCOL;yeast
FILE_VERSION;3.3;
DATE START;2018-06-29;14:03:04
DATE END;2018-07-02;13:52:01;;Last Reading;224;Timestamp;260210432                      
DEVICE;BL063-CX_0FFE42
USER;fabian;COMMENT;no comment available
PLATETYPE;MTP-48-Flowerplate;LOT;UNKOWN
MTP ROWS;6
MTP COLUMNS;8
FILTERSETS;3;REFERENCE_MODE;2;MULTI_PMT;1;

FILTERSET;FILTERNAME;EX [nm];EM [nm];LAYOUT;FILTERNR;GAIN;PHASESTATISTICSSIGMA;SIGNALQUALITYTOLERANCE;REFERENCE VALUE;EM2 [nm];GAIN2;PROCESS PARAMETER
 1;Biomass;620;620;Kristina170502;1;30;1.00;100.00;300.00;0;-1;SET TEMPERATURE [°C];30.00
 2;Biomass;620;620;Kristina170502;1;45;1.00;100.00;300.00;0;-1;SET HUMIDITY [rH];85.00
 3;Biomass;620;620;Kristina170502;1;60;1.00;100.00;300.00;0;-1;SET O2 [%];20.95
;;;;;;;;;;;;SET CO2 [%];0.00
;;;;;;;;;;;;SET SHAKER FREQUENCY [rpm];800.00
;;;;;;;;;;;;SET CYCLE TIME [min];15
;;;;;;;;;;;;SET EXP TIME [h];-1

READING;WELLNUM;CONTENT;DESCRIPTION;FILTERSET;TIME [h];AMPLITUDE;PHASE;AMPLITUDE2;ACT TEMP [°C];ACT HUMIDITY [rH];ACT O2 [%];ACT CO2 [%];COMMENTS
R;;;;1;0.00771;94.67;0.0;30.39;29.60;84.95;13.78;0.00;test measure for referencing with gain 22 and 9
C1;A01;X1;;1;0.01090;9.27;0.0;0.00;29.90;90.86;13.70;0.00;
C1;A02;X2;;1;0.01287;9.25;0.0;0.00;30.00;91.52;13.63;0.00;
C1;A03;X3;;1;0.01487;9.67;0.0;0.00;30.10;92.46;13.61;0.00;
C1;A04;X4;;1;0.01683;9.61;0.0;0.00;30.10;92.10;13.61;0.00;
C1;A05;X5;;1;0.01882;9.47;0.0;0.00;30.10;91.48;13.61;0.00;
C1;A06;X6;;1;0.02080;9.06;0.0;0.00;30.10;90.67;13.59;0.00;
C1;A07;X7;;1;0.02279;8.96;0.0;0.00;30.10;90.09;13.59;0.00;
C1;A08;X8;;1;0.02479;9.50;0.0;0.00;30.10;89.24;13.60;0.00;
C1;B08;X16;;1;0.02681;9.72;0.0;0.00;30.10;88.59;13.59;0.00;
C1;B07;X15;;1;0.02878;9.46;0.0;0.00;30.10;87.94;13.59;0.00;
C1;B06;X14;;1;0.03074;9.21;0.0;0.00;30.10;87.43;13.61;0.00;
C1;B05;X13;;1;0.03276;9.68;0.0;0.00;30.10;86.58;13.62;0.00;
C1;B04;X12;;1;0.03473;9.67;0.0;0.00;30.10;86.26;13.62;0.00;
C1;B03;X11;;1;0.03672;9.76;0.0;0.00;30.10;85.74;13.62;0.00;
C1;B02;X10;;1;0.03870;9.64;0.0;0.00;30.10;85.22;13.63;0.00;
C1;B01;X9;;1;0.04067;9.87;0.0;0.00;30.10;84.91;13.63;0.00;
C1;C01;X17;;1;0.04279;9.55;0.0;0.00;30.10;84.56;13.69;0.00;
C1;C02;X18;;1;0.04478;9.92;0.0;0.00;30.10;84.57;13.69;0.00;
C1;C03;X19;;1;0.04676;9.71;0.0;0.00;30.00;84.50;13.70;0.00;
C1;C04;X20;;1;0.04873;10.22;0.0;0.00;30.00;84.54;13.71;0.00;
C1;C05;X21;;1;0.05079;9.49;0.0;0.00;30.00;84.56;13.70;0.00;
C1;C06;X22;;1;0.05279;9.47;0.0;0.00;30.00;84.52;13.70;0.00;
C1;C07;X23;;1;0.05483;10.26;0.0;0.00;30.00;84.43;13.69;0.00;
C1;C08;X24;;1;0.05680;9.38;0.0;0.00;29.90;84.66;13.69;0.00;
